,timepoint,cloudcover,lifted_index,prec_type,prec_amount,temp2m,rh2m,weather,wind10m.direction,wind10m.speed,fecha,latitud,longitud,ciudad,seeing,transparency
0,3,1,15,none,0,5,64,clearnight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,5,2
1,6,2,15,none,0,6,55,clearnight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,5,2
2,9,1,15,none,0,8,45,clearday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,3,2
3,12,1,10,none,0,13,43,clearday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
4,15,1,10,none,0,13,41,clearday,N,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
5,18,1,10,none,0,7,75,clearnight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
6,21,3,10,none,0,6,71,pcloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
7,24,5,10,none,0,6,70,pcloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
8,27,9,10,none,0,6,72,cloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
9,30,7,15,none,0,6,66,mcloudynight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,6,2
10,33,4,10,none,0,9,55,pcloudyday,W,3,2023-01-10,40.4165,-3.70256,Madrid,3,2
11,36,5,2,none,0,13,58,pcloudyday,NW,5,2023-01-10,40.4165,-3.70256,Madrid,2,2
12,39,5,6,none,0,9,78,pcloudyday,NW,5,2023-01-10,40.4165,-3.70256,Madrid,2,5
13,42,7,6,none,0,7,70,mcloudynight,NW,5,2023-01-10,40.4165,-3.70256,Madrid,2,3
14,45,6,15,none,0,5,72,mcloudynight,NW,5,2023-01-10,40.4165,-3.70256,Madrid,3,3
15,48,4,15,none,0,4,67,pcloudynight,NW,5,2023-01-10,40.4165,-3.70256,Madrid,4,3
16,51,1,15,none,0,3,73,clearnight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,4,3
17,54,1,15,none,0,2,72,clearnight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,5,2
18,57,4,15,none,0,5,53,pcloudyday,NW,3,2023-01-10,40.4165,-3.70256,Madrid,3,2
19,60,3,15,none,0,11,30,pcloudyday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,1,2
20,63,1,15,none,0,12,28,clearday,N,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
21,66,1,15,none,0,5,50,clearnight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
22,69,9,15,none,0,5,42,cloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
23,72,8,15,none,0,5,38,cloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
0,3,1,15,none,0,8,40,clearday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
1,6,1,10,none,0,13,38,clearday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
2,9,1,10,none,0,13,45,clearday,N,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
3,12,1,10,none,0,7,71,clearnight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
4,15,2,10,none,0,6,70,clearnight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
5,18,5,10,none,0,6,66,pcloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
6,21,9,10,none,0,6,70,cloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
7,24,6,15,none,0,5,67,mcloudynight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,6,2
8,27,4,10,none,0,9,55,pcloudyday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,3,2
9,30,6,6,none,0,13,51,mcloudyday,NW,4,2023-01-10,40.4165,-3.70256,Madrid,1,2
10,33,4,6,none,0,9,73,pcloudyday,NW,5,2023-01-10,40.4165,-3.70256,Madrid,2,4
11,36,6,6,none,0,7,83,mcloudynight,NW,5,2023-01-10,40.4165,-3.70256,Madrid,2,4
12,39,6,10,none,0,5,70,mcloudynight,NW,5,2023-01-10,40.4165,-3.70256,Madrid,3,3
13,42,4,15,none,0,4,68,pcloudynight,NW,4,2023-01-10,40.4165,-3.70256,Madrid,4,3
14,45,1,15,none,0,2,75,clearnight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,5,2
15,48,1,15,none,0,2,76,clearnight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,5,3
16,51,1,15,none,0,5,60,clearday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
17,54,1,15,none,0,11,35,clearday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
18,57,1,15,none,0,12,28,clearday,NE,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
19,60,1,15,none,0,5,63,clearnight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
20,63,6,15,none,0,5,47,mcloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
21,66,7,15,none,0,5,44,mcloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
22,69,9,15,none,0,6,31,cloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,1
23,72,9,15,none,0,6,39,cloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
