,Id,MSSubClass,LotFrontage,LotArea,Street,Neighborhood,OverallQual,OverallCond,YearBuilt,RoofMatl,MasVnrArea,BsmtQual,BsmtCond,BsmtFinType1,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenAbvGr,GarageArea,PavedDrive,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
0,1,60,65.0,8450,Pave,CollgCr,7,5,2003,CompShg,196.0,Gd,TA,GLQ,GasA,Ex,Y,856,854,1710,2,1,548,Y,0,2,2008,Normal,208500
1,2,20,80.0,9600,Pave,Veenker,6,8,1976,CompShg,0.0,Gd,TA,ALQ,GasA,Ex,Y,1262,0,1262,2,1,460,Y,0,5,2007,Normal,181500
2,3,60,68.0,11250,Pave,CollgCr,7,5,2001,CompShg,162.0,Gd,TA,GLQ,GasA,Ex,Y,920,866,1786,2,1,608,Y,0,9,2008,Normal,223500
3,4,70,60.0,9550,Pave,Crawfor,7,5,1915,CompShg,0.0,TA,Gd,ALQ,GasA,Gd,Y,961,756,1717,1,1,642,Y,0,2,2006,Abnorml,140000
4,5,60,84.0,14260,Pave,NoRidge,8,5,2000,CompShg,350.0,Gd,TA,GLQ,GasA,Ex,Y,1145,1053,2198,2,1,836,Y,0,12,2008,Normal,250000
5,6,50,85.0,14115,Pave,Mitchel,5,5,1993,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,796,566,1362,1,1,480,Y,700,10,2009,Normal,143000
6,7,20,75.0,10084,Pave,Somerst,8,5,2004,CompShg,186.0,Ex,TA,GLQ,GasA,Ex,Y,1694,0,1694,2,1,636,Y,0,8,2007,Normal,307000
7,8,60,,10382,Pave,NWAmes,7,6,1973,CompShg,240.0,Gd,TA,ALQ,GasA,Ex,Y,1107,983,2090,2,1,484,Y,350,11,2009,Normal,200000
8,9,50,51.0,6120,Pave,OldTown,7,5,1931,CompShg,0.0,TA,TA,Unf,GasA,Gd,Y,1022,752,1774,2,2,468,Y,0,4,2008,Abnorml,129900
9,10,190,50.0,7420,Pave,BrkSide,5,6,1939,CompShg,0.0,TA,TA,GLQ,GasA,Ex,Y,1077,0,1077,1,2,205,Y,0,1,2008,Normal,118000
10,11,20,70.0,11200,Pave,Sawyer,5,5,1965,CompShg,0.0,TA,TA,Rec,GasA,Ex,Y,1040,0,1040,1,1,384,Y,0,2,2008,Normal,129500
11,12,60,85.0,11924,Pave,NridgHt,9,5,2005,CompShg,286.0,Ex,TA,GLQ,GasA,Ex,Y,1182,1142,2324,3,1,736,Y,0,7,2006,Partial,345000
12,13,20,,12968,Pave,Sawyer,5,6,1962,CompShg,0.0,TA,TA,ALQ,GasA,TA,Y,912,0,912,1,1,352,Y,0,9,2008,Normal,144000
13,14,20,91.0,10652,Pave,CollgCr,7,5,2006,CompShg,306.0,Gd,TA,Unf,GasA,Ex,Y,1494,0,1494,2,1,840,Y,0,8,2007,Partial,279500
14,15,20,,10920,Pave,NAmes,6,5,1960,CompShg,212.0,TA,TA,BLQ,GasA,TA,Y,1253,0,1253,1,1,352,Y,0,5,2008,Normal,157000
15,16,45,51.0,6120,Pave,BrkSide,7,8,1929,CompShg,0.0,TA,TA,Unf,GasA,Ex,Y,854,0,854,1,1,576,Y,0,7,2007,Normal,132000
16,17,20,,11241,Pave,NAmes,6,7,1970,CompShg,180.0,TA,TA,ALQ,GasA,Ex,Y,1004,0,1004,1,1,480,Y,700,3,2010,Normal,149000
17,18,90,72.0,10791,Pave,Sawyer,4,5,1967,CompShg,0.0,,,,GasA,TA,Y,1296,0,1296,2,2,516,Y,500,10,2006,Normal,90000
18,19,20,66.0,13695,Pave,SawyerW,5,5,2004,CompShg,0.0,TA,TA,GLQ,GasA,Ex,Y,1114,0,1114,1,1,576,Y,0,6,2008,Normal,159000
19,20,20,70.0,7560,Pave,NAmes,5,6,1958,CompShg,0.0,TA,TA,LwQ,GasA,TA,Y,1339,0,1339,1,1,294,Y,0,5,2009,Abnorml,139000
